Segmento,Moneda,Posición,Cliente,Facturación
Menor actividad y alta conversión,US$,11,FIRE SUPPRESSION SYSTEMS E.I.R.L.,3254.238
Menor actividad y alta conversión,US$,12,MINING SOLUTIONS S.A.C.,1627.12
Menor actividad y alta conversión,US$,13,TRANSPORTES HAGEMSA S.A.C.,580.0
Menor actividad y alta conversión,US$,14,PATRICIA CRISTINA NUÑEZ MENGOA,406.78
Menor actividad y alta conversión,US$,15,AMERICA MOVIL PERU S.A.C.,0.0
Menor actividad y alta conversión,US$,16,EMPRESA DE TRANSPORTES Y SERVICIOS GENERALES JOSECITO SOCIEDAD COMERCIAL DE RESP,0.0
Menor actividad y alta conversión,US$,17,GEOMINCO PERU SCRL,0.0
Menor actividad y alta conversión,US$,18,GRUPO FOOD SOLUTIONS S.A.C.,0.0
Menor actividad y alta conversión,US$,19,MEGA SOLUCIONES SOCIEDAD ANONIMA CERRADA,0.0
Menor actividad y alta conversión,US$,20,R Y M INGENIEROS S.A.C.,0.0
Menor actividad y alta conversión,US$,21,SERVICIOS MARITIMOS LOGISTICOS S.A.C,0.0
Menor actividad y alta conversión,US$,22,Tumi Contratistas Mineros S.A.C,0.0
